"Cost","Gamma","Accuracy","AUC"
8,0.00390625,0.742307692307692,0.542408622305529
4,0.0078125,0.742307692307692,0.542408622305529
128,1,0.623076923076923,0.542486722899094
256,1,0.623076923076923,0.542486722899094
512,1,0.623076923076923,0.542486722899094
1024,1,0.623076923076923,0.542486722899094
4,2,0.630769230769231,0.542642924086223
4,0.5,0.638461538461538,0.542799125273352
0.5,4,0.646153846153846,0.542955326460481
1024,0.125,0.626923076923077,0.545064042486723
1,0.03125,0.742307692307692,0.547407060293658
64,0.125,0.638461538461538,0.547797563261481
0.25,4,0.684615384615385,0.548734770384255
0.25,0.25,0.7,0.549047172758513
0.5,0.0625,0.746153846153846,0.549984379881287
32,0.5,0.634615384615385,0.550218681661981
1,4,0.634615384615385,0.550218681661981
0.125,2,0.719230769230769,0.5519368947204
128,0.5,0.630769230769231,0.552639800062481
256,0.5,0.630769230769231,0.552639800062481
64,0.5,0.638461538461538,0.55279600124961
64,1,0.638461538461538,0.55279600124961
0.5,2,0.646153846153846,0.552952202436739
0.5,1,0.661538461538462,0.553264604810997
32,0.25,0.65,0.555529522024367
16,1,0.657692307692308,0.555685723211496
0.25,2,0.688461538461538,0.556310527960012
0.25,0.5,0.696153846153846,0.556466729147141
2,0.03125,0.723076923076923,0.559512652296157
512,0.0078125,0.65,0.560527960012496
8,1,0.657692307692308,0.560684161199625
16,0.25,0.665384615384615,0.560840362386754
128,0.015625,0.661538461538462,0.563261480787254
16,0.0078125,0.7,0.564042486722899
1024,6.103515625e-05,0.730769230769231,0.564667291471415
512,0.0001220703125,0.730769230769231,0.564667291471415
256,0.000244140625,0.730769230769231,0.564667291471415
128,0.00048828125,0.730769230769231,0.564667291471415
64,0.0009765625,0.730769230769231,0.564667291471415
512,0.0625,0.65,0.565526398000625
64,0.03125,0.657692307692308,0.565682599187754
0.5,8,0.665384615384615,0.565838800374883
1,0.0625,0.719230769230769,0.566932208684786
32,0.001953125,0.734615384615385,0.567244611059044
16,0.00390625,0.734615384615385,0.567244611059044
256,0.03125,0.638461538461538,0.567791315213996
2,0.25,0.646153846153846,0.567947516401125
2,0.125,0.653846153846154,0.568103717588254
1,1,0.653846153846154,0.568103717588254
0.5,0.25,0.684615384615385,0.56872852233677
4,0.015625,0.738461538461539,0.569821930646673
1024,0.001953125,0.665384615384615,0.570837238363011
1,0.5,0.665384615384615,0.570837238363011
0.25,1,0.688461538461538,0.571305841924399
1024,0.0001220703125,0.703846153846154,0.571618244298657
512,0.000244140625,0.703846153846154,0.571618244298657
256,0.00048828125,0.703846153846154,0.571618244298657
128,0.0009765625,0.703846153846154,0.571618244298657
64,0.001953125,0.703846153846154,0.571618244298657
64,0.0625,0.638461538461538,0.572789753202124
256,0.25,0.661538461538462,0.573258356763511
512,0.25,0.661538461538462,0.573258356763511
1024,0.25,0.661538461538462,0.573258356763511
16,0.125,0.669230769230769,0.57341455795064
128,0.25,0.669230769230769,0.57341455795064
16,0.5,0.669230769230769,0.57341455795064
